date,unemployment,hy_spread,yield_curve,consumer_sentiment,real_income
2007-01-31,4.6,2.72,-0.29,96.9,11956.6
2007-02-28,4.5,2.82,-0.6,91.3,11996.0
2007-03-31,4.4,2.85,-0.39,88.4,12035.1
2007-04-30,4.5,2.74,-0.28,87.1,12052.8
2007-05-31,4.4,2.46,0.17,88.3,12059.9
2007-06-30,4.6,2.98,0.21,85.3,12053.3
2007-07-31,4.7,4.19,-0.18,90.4,12066.4
2007-08-31,4.6,4.55,0.53,83.4,12070.9
2007-09-30,4.7,4.2,0.77,83.4,12089.6
2007-10-31,4.7,4.36,0.54,80.9,12080.4
2007-11-30,4.7,5.75,0.82,76.1,12070.1
2007-12-31,5.0,5.92,0.68,75.5,12120.5
2008-01-31,5.0,6.95,1.71,78.4,12137.1
2008-02-29,4.9,7.67,1.68,70.8,12141.8
2008-03-31,5.1,8.21,2.07,69.5,12145.9
2008-04-30,5.0,6.86,2.34,62.6,12100.8
2008-05-31,5.4,6.53,2.17,59.8,12696.2
2008-06-30,5.6,7.35,2.09,56.4,12376.6
2008-07-31,5.8,8.0,2.31,61.2,12188.7
2008-08-31,6.1,8.36,2.11,63.0,12120.6
2008-09-30,6.1,10.96,2.93,70.3,12149.0
2008-10-31,6.5,16.17,3.55,57.6,12240.5
2008-11-30,6.8,19.88,2.92,55.3,12345.9
2008-12-31,7.3,18.12,2.14,60.1,12288.8
2009-01-31,7.8,16.26,2.63,61.2,12361.5
2009-02-28,8.3,17.38,2.76,56.3,12241.9
2009-03-31,8.7,17.03,2.5,57.3,12242.7
2009-04-30,9.0,13.45,3.02,65.1,12320.0
2009-05-31,9.4,11.7,3.33,68.7,12500.1
2009-06-30,9.5,10.55,3.34,70.8,12273.2
2009-07-31,9.5,9.22,3.34,66.0,12218.7
2009-08-31,9.6,9.12,3.25,65.7,12194.8
2009-09-30,9.8,7.93,3.17,73.5,12230.6
2009-10-31,10.0,7.6,3.36,70.6,12193.2
2009-11-30,9.9,7.65,3.15,67.4,12224.4
2009-12-31,9.9,6.39,3.79,72.5,12280.2
2010-01-31,9.8,6.54,3.55,74.4,12285.8
2010-02-28,9.8,6.71,3.48,73.6,12292.0
2010-03-31,9.9,5.84,3.68,73.6,12340.3
2010-04-30,9.9,5.61,3.53,72.2,12447.1
